EngName,ChiName
Aixinjueluo Baofeng,愛新覺羅寶豐
Aixinjueluo Baoji,愛新覺羅保極
Aixinjueluo Baolin,愛新覺羅寶麟
Aixinjueluo Baoqing,愛新覺羅保清
Aixinjueluo Baorui,愛新覺羅保瑞
Aixinjueluo Baosen,愛新覺羅寶森
Aixinjueluo Baoshou,愛新覺羅保壽
Aixinjueluo Baotai,愛新覺羅保泰
Aixinjueluo Baoting,愛新覺羅寶廷
Aixinjueluo Baoxi,愛新覺羅寶熙
Aixinjueluo Basai,愛新覺羅巴賽
Aixinjueluo Basiha,愛新覺羅巴思哈
Aixinjueluo Bayala,愛新覺羅巴雅喇
Aixinjueluo Benge,愛新覺羅本格
Aixinjueluo Biertena,愛新覺羅弼爾特訥
Aixinjueluo Bilike,愛新覺羅弼禮克
Aixinjueluo Binghui,愛新覺羅炳輝
Aixinjueluo Bingyue,愛新覺羅冰月
Aixinjueluo Binsong,愛新覺羅斌松
Aixinjueluo Boerdou,愛新覺羅博爾都
Aixinjueluo Boerhe,愛新覺羅博爾和
Aixinjueluo Boluo,愛新覺羅波洛
Aixinjueluo Boqinge,愛新覺羅博慶額
Aixinjueluo Botonge,愛新覺羅博通額
Aixinjueluo Boxiu,愛新覺羅伯秀
Aixinjueluo Bukuliyongshun,布庫里雍順
Aixinjueluo Chaerdai,愛新覺羅察爾岱
Aixinjueluo Changling,愛新覺羅長齡
Aixinjueluo Changlu,愛新覺羅常祿
Aixinjueluo Changning,愛新覺羅常寧
Aixinjueluo Changqing,愛新覺羅常清
Aixinjueluo Changshao,愛新覺羅長紹
Aixinjueluo Chani,愛新覺羅察尼
Aixinjueluo Chenge,愛新覺羅成額
Aixinjueluo Chenggang,愛新覺羅成剛
Aixinjueluo Chenghui,愛新覺羅成惠
Aixinjueluo Chengkai,愛新覺羅成凱
Aixinjueluo Chengkuan,愛新覺羅成寬
Aixinjueluo Chenglang,愛新覺羅成朗
Aixinjueluo Chenglin,愛新覺羅承霖
Aixinjueluo Chengzhang,愛新覺羅成章
Aixinjueluo Chongan,愛新覺羅崇安
Aixinjueluo Chongbao,愛新覺羅充保
Aixinjueluo Chongbi,愛新覺羅崇弼
Aixinjueluo Chongguang,愛新覺羅崇光
Aixinjueluo Chongkuan,愛新覺羅崇寬
Aixinjueluo Chongshan,愛新覺羅崇善
Aixinjueluo Chongshan,充善
Aixinjueluo Chongshang,愛新覺羅崇尚
Aixinjueluo Chongshou,愛新覺羅崇壽
Aixinjueluo Chongshuo,愛新覺羅崇碩
Aixinjueluo Chongxing,愛新覺羅崇興
Aixinjueluo Chundai,愛新覺羅春岱
Aixinjueluo Chunkan,愛新覺羅純堪
